analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.0220914538949728,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.021774616092443466,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,1,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.021827345713973045,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,2,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.0219793152064085,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,3,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.02206321619451046,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,4,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.02219264581799507,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,5,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.02201264724135399,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,6,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.021961413323879242,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,7,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.02171250618994236,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,8,,pypower,True
,python,,case793_goc,pglib_opf_case793_goc,fp64,,0.021927056834101677,5.425149218751812e-10,pypower,4,pypower,,end2end,,pypower,,9,,pypower,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.009148,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,0,0.009141,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.008965,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,1,0.008958,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.009227,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,2,0.009221,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.009031,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,3,0.009025,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.008982,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,4,0.008976,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.009429,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,5,0.009423,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.010026,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,6,0.01002,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.009619,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,7,0.009612,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.008913,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,8,0.008906,cpp_pypowerlike,True
6e-06,cpu,793,case793_goc,,fp64,case793_goc,0.008863,5.425077054255e-10,cpp_naive,5,pypower_like,1.161718975861,end2end,704,cpp_naive,88,9,0.008857,cpp_pypowerlike,True
0.000885,cpu,793,case793_goc,,fp64,case793_goc,0.002966,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,0,0.00208,cpu_fp64_edge,True
0.000883,cpu,793,case793_goc,,fp64,case793_goc,0.002954,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,1,0.002071,cpu_fp64_edge,True
0.000881,cpu,793,case793_goc,,fp64,case793_goc,0.002917,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,2,0.002036,cpu_fp64_edge,True
0.000887,cpu,793,case793_goc,,fp64,case793_goc,0.002946,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,3,0.002058,cpu_fp64_edge,True
0.000879,cpu,793,case793_goc,,fp64,case793_goc,0.002927,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,4,0.002047,cpu_fp64_edge,True
0.000953,cpu,793,case793_goc,,fp64,case793_goc,0.003045,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,5,0.002091,cpu_fp64_edge,True
0.000882,cpu,793,case793_goc,,fp64,case793_goc,0.002928,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,6,0.002045,cpu_fp64_edge,True
0.000884,cpu,793,case793_goc,,fp64,case793_goc,0.002927,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,7,0.002042,cpu_fp64_edge,True
0.000877,cpu,793,case793_goc,,fp64,case793_goc,0.002921,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,8,0.002043,cpu_fp64_edge,True
0.00088,cpu,793,case793_goc,,fp64,case793_goc,0.002943,5.425693783145e-10,cpp,5,edge_based,1.161718975861,end2end,704,cpp,88,9,0.002063,cpu_fp64_edge,True
0.013732,cuda,793,case793_goc,,mixed,case793_goc,0.015328,1.700657931399e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,0,0.001595,cuda_mixed_edge,True
0.013239,cuda,793,case793_goc,,mixed,case793_goc,0.014834,3.009389178826e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,1,0.001594,cuda_mixed_edge,True
0.013122,cuda,793,case793_goc,,mixed,case793_goc,0.014697,2.039590718539e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,2,0.001574,cuda_mixed_edge,True
0.01315,cuda,793,case793_goc,,mixed,case793_goc,0.01473,2.46116519961e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,3,0.00158,cuda_mixed_edge,True
0.013298,cuda,793,case793_goc,,mixed,case793_goc,0.014898,3.21175031015e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,4,0.0016,cuda_mixed_edge,True
0.013454,cuda,793,case793_goc,,mixed,case793_goc,0.015046,3.02357920538e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,5,0.001592,cuda_mixed_edge,True
0.013537,cuda,793,case793_goc,,mixed,case793_goc,0.01513,2.195993387133e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,6,0.001593,cuda_mixed_edge,True
0.013163,cuda,793,case793_goc,,mixed,case793_goc,0.014737,2.712107177924e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,7,0.001574,cuda_mixed_edge,True
0.013123,cuda,793,case793_goc,,mixed,case793_goc,0.014716,2.200421702486e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,8,0.001592,cuda_mixed_edge,True
0.013159,cuda,793,case793_goc,,mixed,case793_goc,0.01473,2.67692443602e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,9,0.001571,cuda_mixed_edge,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03834965266287327,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03835928440093994,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,1,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03815040364861488,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,2,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.0381501242518425,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,3,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03989194519817829,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,4,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03818627633154392,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,5,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03825664520263672,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,6,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03817875310778618,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,7,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.038141243159770966,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,8,,pypower,True
,python,,case1354_pegase,pglib_opf_case1354_pegase,fp64,,0.03823097608983517,4.120073105607632e-12,pypower,5,pypower,,end2end,,pypower,,9,,pypower,True
0.000151,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.02018,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,0,0.020028,cpp_pypowerlike,True
1.2e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.019381,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,1,0.019369,cpp_pypowerlike,True
1.4e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.019357,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,2,0.019343,cpp_pypowerlike,True
1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.019269,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,3,0.019258,cpp_pypowerlike,True
1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.019271,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,4,0.019261,cpp_pypowerlike,True
1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.01925,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,5,0.01924,cpp_pypowerlike,True
1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.019284,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,6,0.019273,cpp_pypowerlike,True
1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.01926,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,7,0.01925,cpp_pypowerlike,True
1.1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.01927,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,8,0.019259,cpp_pypowerlike,True
1e-05,cpu,1354,case1354_pegase,,fp64,case1354_pegase,0.019258,2.743706727289e-12,cpp_naive,6,pypower_like,0.9675246266079,end2end,1094,cpp_naive,259,9,0.019247,cpp_pypowerlike,True
