algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
modified,0.024291,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.028248,1.376248420781e-11,cuda_edge_modified,6,edge_based,0.05033550758127,end2end,5553,cuda_edge_modified,104,4,0.003956,cuda_mixed_edge_modified,True
modified,0.025556,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.029556,1.337441268845e-11,cuda_edge_modified,6,edge_based,0.05033550758125,end2end,5553,cuda_edge_modified,104,5,0.004,cuda_mixed_edge_modified,True
modified,0.025401,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.02935,1.543139227511e-11,cuda_edge_modified,6,edge_based,0.05033550758126,end2end,5553,cuda_edge_modified,104,6,0.003948,cuda_mixed_edge_modified,True
modified,0.025411,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.02937,1.657619180806e-11,cuda_edge_modified,6,edge_based,0.05033550758125,end2end,5553,cuda_edge_modified,104,7,0.003958,cuda_mixed_edge_modified,True
modified,0.053861,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.057859,9.227389685673e-12,cuda_edge_modified,6,edge_based,0.05033550758127,end2end,5553,cuda_edge_modified,104,8,0.003998,cuda_mixed_edge_modified,True
modified,0.024331,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.028291,1.916265757185e-11,cuda_edge_modified,6,edge_based,0.05033550758126,end2end,5553,cuda_edge_modified,104,9,0.00396,cuda_mixed_edge_modified,True
standard,0.026935,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.030596,6.031467659272e-11,cuda_edge,4,edge_based,0.01575196529919,end2end,6127,cuda_edge,589,0,0.00366,cuda_mixed_edge,True
standard,0.025632,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.029217,9.586556197364e-11,cuda_edge,4,edge_based,0.0157519652986,end2end,6127,cuda_edge,589,1,0.003585,cuda_mixed_edge,True
standard,0.025923,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.029515,2.661532195544e-11,cuda_edge,4,edge_based,0.01575196529906,end2end,6127,cuda_edge,589,2,0.003591,cuda_mixed_edge,True
standard,0.025622,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.029208,1.438855317897e-10,cuda_edge,4,edge_based,0.01575196529978,end2end,6127,cuda_edge,589,3,0.003585,cuda_mixed_edge,True
standard,0.025807,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.029402,4.747506363485e-11,cuda_edge,4,edge_based,0.01575196529893,end2end,6127,cuda_edge,589,4,0.003594,cuda_mixed_edge,True
standard,0.025727,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.029301,6.97901062504e-11,cuda_edge,4,edge_based,0.01575196529888,end2end,6127,cuda_edge,589,5,0.003573,cuda_mixed_edge,True
standard,0.027261,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.030835,1.251279427612e-10,cuda_edge,4,edge_based,0.01575196529881,end2end,6127,cuda_edge,589,6,0.003573,cuda_mixed_edge,True
standard,0.026794,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.030382,1.632241824268e-10,cuda_edge,4,edge_based,0.01575196529979,end2end,6127,cuda_edge,589,7,0.003588,cuda_mixed_edge,True
standard,0.027237,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.030817,7.173178875576e-11,cuda_edge,4,edge_based,0.01575196529919,end2end,6127,cuda_edge,589,8,0.003579,cuda_mixed_edge,True
standard,0.026933,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.030544,1.121790131546e-10,cuda_edge,4,edge_based,0.01575196529955,end2end,6127,cuda_edge,589,9,0.00361,cuda_mixed_edge,True
