case,n_bus,ybus_nnz,cudss_ok_runs,custom_ok_runs,cudss_converged_runs,custom_converged_runs,cudss_initialize_mean_ms,custom_initialize_mean_ms,initialize_custom_over_cudss,cudss_solve_mean_ms,custom_solve_mean_ms,solve_custom_over_cudss,cudss_total_mean_ms,custom_total_mean_ms,total_custom_over_cudss,status
case2737sop,2737,9263,10,10,10,10,38.88893768307753,7.607814291259274,0.1956292648891205,3.2983694050926715,2.847243711585179,0.8632276624895453,42.1873070881702,10.455058002844453,0.2478247303387651,ok
case2746wop,2746,9344,10,10,10,10,38.969329511746764,7.86353750154376,0.20178785727307436,2.9516972950659692,2.261352399364114,0.7661193453489185,41.92102680681273,10.124889900907874,0.24152294617130998,ok
case2746wp,2746,9292,10,10,10,10,37.98668520175852,7.535058900248259,0.19836052712226226,2.7030353958252817,2.254857000662014,0.8341944038707523,40.6897205975838,9.789915900910273,0.24059924121208168,ok
case2848rte,2848,9732,10,10,10,10,38.572081591701135,8.619483897928149,0.22346431777181164,1.427431812044233,1.223542500520125,0.8571635367772019,39.99951340374537,9.843026398448274,0.24607865348498512,ok
case2868rte,2868,9810,10,10,10,10,38.92827638774179,8.06582189979963,0.20719699530132535,3.3268438011873513,2.623580308863893,0.7886094044834737,42.25512018892914,10.689402208663523,0.25297294531099573,ok
case2869pegase,2869,10805,10,10,10,10,39.886264310916886,8.47695079864934,0.21252807063029958,3.4748564066831023,2.991149394074455,0.8607979852985159,43.36112071759999,11.468100192723796,0.26447886961715383,ok
case28da,28,82,10,10,10,10,18.28737200703472,0.72784359799698,0.03980033860070194,0.5204228102229536,0.46440549776889384,0.8923619192823976,18.807794817257673,1.1922490957658738,0.06339122195611624,ok
case30,30,112,10,10,10,10,18.392958596814424,0.7756719889584929,0.04217222503250976,0.5321032949723303,0.501721422187984,0.9429023028584587,18.925061891786754,1.2773934111464769,0.06749744959623355,ok
case300,300,1118,10,10,10,10,20.917371689574793,1.3347882952075452,0.06381242897131302,1.5316043922211975,1.3922271027695388,0.9089991579029569,22.44897608179599,2.727015397977084,0.121476159448913,ok
case3012wp,3012,10144,10,10,10,10,39.55235930043273,8.260888908989727,0.20885957386869078,2.2012418136000633,1.7755704931914806,0.806622190356992,41.75360111403279,10.036459402181208,0.24037350394689902,ok
