case,backend,n_bus,ybus_nnz,n_pv,n_pq,runs,ok_runs,converged_runs,initialize_mean_ms,initialize_median_ms,initialize_min_ms,initialize_max_ms,initialize_std_ms,solve_mean_ms,solve_median_ms,solve_min_ms,solve_max_ms,solve_std_ms,total_mean_ms,total_median_ms,final_mismatch_median,iterations_median,first_error
case300,cudss,300,1118,68,231,10,10,10,20.917371689574793,20.90615249471739,20.851659995969385,21.02177997585386,0.051275190407583895,1.5316043922211975,1.525699975900352,1.5141089679673314,1.5736499917693436,0.016605534111827448,22.44897608179599,22.430089971749112,1.3784197371322313e-12,6.0,
case300,custom,300,1118,68,231,10,10,10,1.3347882952075452,1.3048009714111686,1.2728659785352647,1.4779599732719362,0.06794627849635945,1.3922271027695388,1.388994511216879,1.3837440055795014,1.4048940502107143,0.006683209506154484,2.727015397977084,2.7009584882762283,1.38019523817322e-12,6.0,
case3012wp,cudss,3012,10144,297,2714,10,10,10,39.55235930043273,39.51754799345508,39.46825000457466,39.811704016756266,0.10176263665829333,2.2012418136000633,2.1929260110482574,2.177463029511273,2.253074024338275,0.023607387250872983,41.75360111403279,41.711641009896994,9.077494172196602e-12,4.0,
case3012wp,custom,3012,10144,297,2714,10,10,10,8.260888908989727,8.23645101627335,8.055602025706321,8.519452007021755,0.15843291246295524,1.7755704931914806,1.7828374693635851,1.67788501130417,1.903388008940965,0.06321790635906833,10.036459402181208,10.006188997067511,9.03030103220088e-12,4.0,
case30Q,cudss,30,112,5,24,10,10,10,18.401065393118188,18.394078506389633,18.33273796364665,18.494090996682644,0.052060391096700895,0.5280027980916202,0.5251745169516653,0.5217280122451484,0.5430479650385678,0.006919501376520429,18.929068191209808,18.9214069978334,9.569991465951944e-10,4.0,
case30Q,custom,30,112,5,24,10,10,10,0.7604546030052006,0.7338710129261017,0.7224539876915514,0.8944469736889005,0.053321217332961614,0.4997669020667672,0.4980530065950006,0.49267400754615664,0.5076919915154576,0.005762272629087783,1.2602215050719678,1.2295195192564279,9.569993686397993e-10,4.0,
case30pwl,cudss,30,112,5,24,10,10,10,18.38305940036662,18.37432151660323,18.347606004681438,18.473431991878897,0.03929873988154195,0.528345606289804,0.5279045144561678,0.5207670037634671,0.5336399772204459,0.0044490633660345166,18.911405006656423,18.89913502964191,9.569991465951944e-10,4.0,
case30pwl,custom,30,112,5,24,10,10,10,0.7531277951784432,0.7448465039487928,0.7154810009524226,0.810900004580617,0.032267457540785444,0.4965478030499071,0.4953785100951791,0.48823602264747024,0.5071000196039677,0.005381385988896984,1.2496755982283503,1.2389025068841875,9.569993686397993e-10,4.0,
case3120sp,cudss,3120,10488,247,2872,10,10,10,40.77504440792836,40.79206701135263,40.6301089678891,40.93993897549808,0.1187137526829143,4.266498395008966,4.258743982063606,4.244126030243933,4.320358973927796,0.026189146392648664,45.04154280293733,45.049954496789724,8.829804052168e-12,7.0,
case3120sp,custom,3120,10488,247,2872,10,10,10,8.537391887512058,8.530812483513728,8.308625954668969,8.829612983390689,0.15825995768551476,3.6032669129781425,3.598025010433048,3.3105260226875544,3.850598994176835,0.1627979953296627,12.1406588004902,12.079209496732801,7.641388103377898e-12,7.0,
case3375wp,cudss,3374,11510,391,2982,10,10,10,42.604101402685046,42.58261900395155,42.473353969398886,42.78385697398335,0.12165697486021812,1.7075733048841357,1.7083630082197487,1.695609011221677,1.7128310282714665,0.0052170197261133,44.31167470756918,44.293441518675536,1.2350787059745016e-11,3.0,
case3375wp,custom,3374,11510,391,2982,10,10,10,10.17127688974142,10.160217003431171,9.807034977711737,10.516365000512451,0.2133521486609359,1.3765929092187434,1.368260505842045,1.2676659971475601,1.5490040532313287,0.06988454954463313,11.547869798960164,11.557011486729607,1.2333689625165789e-11,3.0,
case33bw,cudss,33,97,0,32,10,10,10,18.309424602193758,18.305602512555197,18.27297598356381,18.36682198336348,0.027297113186625,0.5032574001234025,0.5036240036133677,0.4982739919796586,0.5088630132377148,0.0033293730643865088,18.81268200231716,18.80526900640689,7.467510866610017e-09,4.0,
case33bw,custom,33,97,0,32,10,10,10,0.7144253002479672,0.6990504625719041,0.6840219721198082,0.7832180126570165,0.03585601240142002,0.4703165031969547,0.4694244998972863,0.46053301775828004,0.48909703036770225,0.008237224169825372,1.184741803444922,1.164397457614541,7.467510710484904e-09,4.0,
case33mg,cudss,33,97,0,32,10,10,10,18.34864799748175,18.35271599702537,18.264720973093063,18.441932974383235,0.048465176711733025,0.6365171051584184,0.6349805044010282,0.6247209967114031,0.65572903258726,0.009602951666056028,18.985165102640167,18.986779497936368,2.600697435184429e-13,5.0,
