case,backend,repeat,status,initialize_ms,solve_ms,total_ms,iterations,final_mismatch,converged,n_bus,ybus_nnz,n_pv,n_pq,error
case533mt_hi,custom,6,ok,1.5752330073155463,0.7249289774335921,2.3001619847491384,4,1.258391528509764e-11,True,533,1597,0,532,
case533mt_hi,cudss,7,ok,22.116110019851476,0.8047689916566014,22.920879011508077,4,1.2587404552619886e-11,True,533,1597,0,532,
case533mt_hi,custom,7,ok,1.590161002241075,0.7325630285777152,2.32272403081879,4,1.2583915285097548e-11,True,533,1597,0,532,
case533mt_hi,cudss,8,ok,22.14558597188443,0.796293024905026,22.941878996789455,4,1.2577004382728299e-11,True,533,1597,0,532,
case533mt_hi,custom,8,ok,1.7832029843702912,0.7295269751921296,2.512729959562421,4,1.2587269287269525e-11,True,533,1597,0,532,
case533mt_hi,cudss,9,ok,22.211489966139197,0.8409960428252816,23.05248600896448,4,1.2577004382728305e-11,True,533,1597,0,532,
case533mt_hi,custom,9,ok,1.712299999780953,0.7315719849430025,2.4438719847239554,4,1.2580561282925706e-11,True,533,1597,0,532,
case533mt_hi,cudss,10,ok,22.156507009640336,0.8142059668898582,22.970712976530194,4,1.2583982917772856e-11,True,533,1597,0,532,
case533mt_hi,custom,10,ok,1.54296203982085,0.7111540180630982,2.254116057883948,4,1.2587539817970276e-11,True,533,1597,0,532,
case533mt_lo,cudss,1,ok,22.052141022868454,0.7930559804663062,22.84519700333476,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,1,ok,1.533354981802404,0.7182959816418588,2.2516509634442627,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,cudss,2,ok,22.16945099644363,0.8322200155816972,23.001671012025326,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,2,ok,1.5555170248262584,0.7229250040836632,2.2784420289099216,4,4.754530102957233e-13,True,533,1597,0,532,
case533mt_lo,cudss,3,ok,22.270399960689247,0.8238650043494999,23.094264965038747,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,3,ok,1.642388990148902,0.7117139757610857,2.3541029659099877,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,cudss,4,ok,22.152219025883824,0.8100579725578427,22.962276998441666,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,4,ok,1.6682069981470704,0.710461987182498,2.3786689853295684,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,cudss,5,ok,22.10259501589462,0.8111610077321529,22.913756023626775,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,5,ok,1.702892011962831,0.7664969889447093,2.4693890009075403,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,cudss,6,ok,22.10382802877575,0.7891089771874249,22.892937005963176,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,6,ok,1.560073986183852,0.7052220171317458,2.2652960033155978,4,4.547268669065215e-13,True,533,1597,0,532,
case533mt_lo,cudss,7,ok,22.088608995545655,0.8059010142460465,22.894510009791702,4,4.547359149718639e-13,True,533,1597,0,532,
case533mt_lo,custom,7,ok,1.5553159755654633,0.7229050388559699,2.278221014421433,4,4.710673651669058e-13,True,533,1597,0,532,
case533mt_lo,cudss,8,ok,22.152629040647298,0.7972139865159988,22.949843027163297,4,4.547734217530647e-13,True,533,1597,0,532,
case533mt_lo,custom,8,ok,1.6113710007630289,0.7094800239428878,2.3208510247059166,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,cudss,9,ok,22.198535036295652,0.7996089989319444,22.998144035227597,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,custom,9,ok,1.732888980768621,0.7477820036001503,2.4806709843687713,4,6.821129205231384e-13,True,533,1597,0,532,
case533mt_lo,cudss,10,ok,22.148271033074707,0.8004310075193644,22.94870204059407,4,5.422163108716716e-13,True,533,1597,0,532,
case533mt_lo,custom,10,ok,1.5891689690761268,0.7430730038322508,2.3322419729083776,4,4.547268669065215e-13,True,533,1597,0,532,
case57,cudss,1,ok,18.7519239843823,0.6492570391856134,19.401181023567915,4,3.448411766791281e-12,True,57,213,6,50,
case57,custom,1,ok,0.814046012237668,0.585507950745523,1.399553962983191,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,2,ok,18.794313014950603,0.644889019895345,19.439202034845948,4,3.4522881171838054e-12,True,57,213,6,50,
case57,custom,2,ok,0.8220309973694384,0.590668001677841,1.4126989990472794,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,3,ok,18.8031000434421,0.6516709690913558,19.454771012533456,4,3.4488735814711313e-12,True,57,213,6,50,
case57,custom,3,ok,0.9213669691234827,0.5947850295342505,1.5161519986577332,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,4,ok,18.80426303250715,0.6460909498855472,19.4503539823927,4,3.4522881171838054e-12,True,57,213,6,50,
case57,custom,4,ok,0.8105000015348196,0.592390017118305,1.4028900186531246,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,5,ok,18.78018700517714,0.6472630193457007,19.42745002452284,4,3.448411766791281e-12,True,57,213,6,50,
case57,custom,5,ok,0.8180939476005733,0.5908880266360939,1.4089819742366672,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,6,ok,18.9395560300909,0.6503789918497205,19.58993502194062,4,3.448411766791281e-12,True,57,213,6,50,
case57,custom,6,ok,0.8555230451747775,0.5930119659751654,1.4485350111499429,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,7,ok,18.78113904967904,0.6534249987453222,19.434564048424363,4,3.4522881171838054e-12,True,57,213,6,50,
case57,custom,7,ok,0.9061089949682355,0.5964880110695958,1.5025970060378313,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,8,ok,18.814792041666806,0.6493969704024494,19.464189012069255,4,3.4488735814711313e-12,True,57,213,6,50,
case57,custom,8,ok,0.8512059575878084,0.5946250166743994,1.4458309742622077,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,9,ok,18.863253004383296,0.6550480029545724,19.518301007337868,4,3.4488735814711313e-12,True,57,213,6,50,
case57,custom,9,ok,0.8443730184808373,0.5951259518042207,1.439498970285058,4,3.4522881171838054e-12,True,57,213,6,50,
case57,cudss,10,ok,18.900061957538128,0.6377060199156404,19.53776797745377,4,3.4522881171838054e-12,True,57,213,6,50,
