case	solver	precision	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case_ACTIVSg70k	custom	tf32	1	155.993	2.16106	0.934574	0.0551104	134104	900558
case_ACTIVSg70k	cuDSS_ubatch_mtauto	fp32	4	120.212	1.79527	0.58155	0.00093855	134104	900558
case_ACTIVSg70k	custom	fp32	4	157.69	0.84966	0.354764	0.00116234	134104	900558
case_ACTIVSg70k	custom	fp16	4	158.067	0.756897	0.325257	0.0934444	134104	900558
case_ACTIVSg70k	custom	tf32	4	160.491	0.70356	0.318404	0.0552474	134104	900558
case_ACTIVSg70k	cuDSS_ubatch_mtauto	fp32	32	125.87	1.57303	0.520007	0.00115206	134104	900558
case_ACTIVSg70k	custom	fp32	32	156.244	0.443484	0.178725	0.00159305	134104	900558
case_ACTIVSg70k	custom	fp16	32	152.604	0.437087	0.178413	0.0987578	134104	900558
case_ACTIVSg70k	custom	tf32	32	158.001	0.396293	0.17603	0.0558969	134104	900558
case_ACTIVSg70k	cuDSS_ubatch_mtauto	fp32	64	127.258	1.55699	0.513978	0.00116094	134104	900558
case_ACTIVSg70k	custom	fp32	64	154.444	0.404489	0.15897	0.0203978	134104	900558
case_ACTIVSg70k	custom	fp16	64	154.031	0.412896	0.166418	0.0702426	134104	900558
case_ACTIVSg70k	custom	tf32	64	153.075	0.413823	0.166308	0.0523512	134104	900558
case_ACTIVSg70k	cuDSS_ubatch_mtauto	fp32	256	119.728	1.54584	0.510183	0.00127348	134104	900558
case_ACTIVSg70k	custom	fp32	256	152.826	0.397013	0.150573	0.0254857	134104	900558
case_ACTIVSg70k	custom	fp16	256	152.62	0.425133	0.151121	0.0899744	134104	900558
case_ACTIVSg70k	custom	tf32	256	160.916	0.41241	0.159024	0.0560467	134104	900558
case_SyntheticUSA	cuDSS_ubatch_mtauto	fp32	1	149.771	2.79171	0.956725	0.000924843	156255	1052085
case_SyntheticUSA	custom	fp32	1	178.027	2.62174	1.01666	0.00118286	156255	1052085
case_SyntheticUSA	custom	fp16	1	183.166	2.16569	0.947228	0.0610814	156255	1052085
case_SyntheticUSA	custom	tf32	1	179.313	2.48982	1.04246	0.0541827	156255	1052085
case_SyntheticUSA	cuDSS_ubatch_mtauto	fp32	4	148.574	2.01928	0.6621	0.00107059	156255	1052085
case_SyntheticUSA	custom	fp32	4	178.484	0.959839	0.38857	0.00150376	156255	1052085
case_SyntheticUSA	custom	fp16	4	181.227	0.821769	0.39895	0.0717064	156255	1052085
case_SyntheticUSA	custom	tf32	4	178.038	0.88561	0.400006	0.0514297	156255	1052085
case_SyntheticUSA	cuDSS_ubatch_mtauto	fp32	32	147.634	1.8012	0.593749	0.00109926	156255	1052085
case_SyntheticUSA	custom	fp32	32	174.662	0.46302	0.2072	0.00116174	156255	1052085
case_SyntheticUSA	custom	fp16	32	179.364	0.486561	0.20135	0.0781957	156255	1052085
case_SyntheticUSA	custom	tf32	32	174.273	0.474291	0.200818	0.0534731	156255	1052085
case_SyntheticUSA	cuDSS_ubatch_mtauto	fp32	64	148.771	1.78424	0.588485	0.00109647	156255	1052085
case_SyntheticUSA	custom	fp32	64	176.275	0.466887	0.196401	0.00410199	156255	1052085
case_SyntheticUSA	custom	fp16	64	180.179	0.473344	0.190341	0.182761	156255	1052085
case_SyntheticUSA	custom	tf32	64	175.446	0.459291	0.196718	0.0487626	156255	1052085
case_SyntheticUSA	cuDSS_ubatch_mtauto	fp32	256	172.372	1.77235	0.584975	0.00113259	156255	1052085
case_SyntheticUSA	custom	fp32	256	182.489	0.469581	0.180216	0.0244854	156255	1052085
case_SyntheticUSA	custom	fp16	256	178.477	0.47077	0.180886	0.160889	156255	1052085
case_SyntheticUSA	custom	tf32	256	178.007	0.456243	0.18816	0.0531907	156255	1052085
