case_name,mt_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_no_mt,cudss_analysis_ms_speedup_vs_no_mt,cudss_setup_ms,cudss_setup_ms_ratio_vs_no_mt,cudss_setup_ms_speedup_vs_no_mt,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_no_mt,cudss_factorization_ms_speedup_vs_no_mt,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_no_mt,cudss_refactorization_ms_speedup_vs_no_mt,cudss_solve_ms,cudss_solve_ms_ratio_vs_no_mt,cudss_solve_ms_speedup_vs_no_mt,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_no_mt,nr_analyze_linear_solve_ms_speedup_vs_no_mt,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_no_mt,nr_iteration_linear_solve_ms_speedup_vs_no_mt
case2746wop_k,mt_32,10,15.3973,0.7767704896530153,1.287381553908802,1.6066,0.9770128922403308,1.023527947217727,0.3829,0.9235407621804149,1.0827892400104464,0.27743333333335,0.9911873288080026,1.008891024870743,0.152025,0.9586946239949551,1.0430850189113632,17.0065,0.7921310895092061,1.2624173110281365,0.485725,0.9572350593683796,1.0446754850995934
case4601_goc,no_mt,10,28.826,1.0,1.0,1.6154,1.0,1.0,0.5551,1.0,1.0,0.451425,1.0,1.0,0.21504,1.0,1.0,30.4441,1.0,1.0,0.7157800000000001,1.0,1.0
case4601_goc,mt_auto,10,18.326999999999998,0.6357801984319711,1.5728706280351397,1.6513,1.0222235978704965,0.9782595530793919,0.5539,0.9978382273464239,1.0021664560389965,0.450275,0.9974525114913882,1.0025539947809672,0.21434,0.9967447916666666,1.0032658393207055,19.980900000000002,0.6563143597610047,1.5236600953910984,0.71194,0.994635223113247,1.0053937129533388
case4601_goc,mt_1,10,28.7934,0.9988690765281343,1.00113220390784,1.6232,1.0048285254426148,0.9951946771808773,0.5559999999999999,1.0016213294901817,0.9983812949640289,0.451225,0.9995569585202414,1.0004432378525128,0.21504,1.0,1.0,30.4193,0.9991853922434889,1.000815271883311,0.71592,1.0001955908239961,0.9998044474242933
case4601_goc,mt_2,10,22.3406,0.7750156109068201,1.2902965900647254,1.6379,1.0139284387767735,0.9862628976127968,0.5559000000000001,1.0014411817690507,0.9985608922468069,0.45085,0.9987262557456941,1.0012753687479208,0.21924,1.01953125,0.9808429118773947,23.9811,0.787709277002769,1.269503900988695,0.71696,1.001648551230825,0.9983541620174069
case4601_goc,mt_4,10,21.0163,0.7290744466800805,1.3716020422243687,1.6108,0.9971524080723041,1.0028557238639184,0.5579,1.005044136191677,0.9949811794228358,0.4515,1.0001661405549094,0.9998338870431894,0.21508,1.0001860119047619,0.999814022689232,22.6298,0.7433230083990001,1.3453101662409743,0.71478,0.9986029226857412,1.0013990318699462
case4601_goc,mt_8,10,19.4029,0.6731041420939429,1.4856542063299818,1.6186,1.001980933514919,0.9980229828246633,0.5552,1.0001801477211314,0.9998198847262249,0.450725,0.9984493548208451,1.0015530534139443,0.21456,0.9977678571428571,1.0022371364653244,21.0242,0.6905837255822967,1.4480503419868531,0.71196,0.9946631646595322,1.005365469970223
case4601_goc,mt_16,10,18.5384,0.6431138555470756,1.5549346221896174,1.6076,0.9951714745573852,1.0048519532221947,0.5567,1.0028823635381012,0.9971259206035568,0.45475,1.0073655646009856,0.9926882902693789,0.2145,0.9974888392857142,1.0025174825174825,20.1488,0.6618293856609327,1.510963432065433,0.71998,1.0058677247198857,0.9941665046251287
case4601_goc,mt_32,10,18.2909,0.6345278567959481,1.5759749383573252,1.6443,1.0178903058066116,0.9824241318494191,0.5518,0.994055125202666,1.0059804276911926,0.4508,0.9986154953757544,1.0013864241348713,0.2144,0.9970238095238095,1.0029850746268656,19.9378,0.6548986503131969,1.5269538264001044,0.7129,0.9959764173349351,1.0040398372843318
case8387_pegase,no_mt,10,43.0328,1.0,1.0,1.762,1.0,1.0,0.6909000000000001,1.0,1.0,0.56104,1.0,1.0,0.24888333333333001,1.0,1.0,44.7981,1.0,1.0,0.93580000000001,1.0,1.0
