nd_label,run_name,source_exp,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
nd_6,cuda_edge_nd_nd_6,20260413,0.043617,0.0410769,0.040722,0.040606,0.0009157428617733745,cuda,case8387_pegase,mixed,0.051273,0.048763100000000004,0.0484425,0.048299,0.0008983522508830632,2.921563990732e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.007773,0.0076858000000000004,0.0076805,0.00762,5.6122485095845006e-05,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.042688,0.040128,0.039780499999999996,0.039635,0.0009173473836133293,cuda,case8387_pegase,mixed,0.049336,0.046804200000000004,0.0465165,0.046258,0.0009070404621625202,3.085518951451e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006751,0.0066757,0.00666,0.006622,4.984877129879928e-05,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.042734,0.040456400000000003,0.040199,0.040081,0.0008067603526863892,cuda,case8387_pegase,mixed,0.049118,0.0467624,0.046492,0.046344,0.0008367454411786979,3.289804539897e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006391,0.0063054,0.006278,0.006252,5.690186483958347e-05,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.046352,0.0440582,0.0438205,0.043593,0.000817971854989861,cuda,case8387_pegase,mixed,0.052303,0.050022000000000004,0.049802,0.049508,0.0008219601233906942,2.89780832663e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006038,0.0059631,0.005936500000000001,0.005902,5.565658591357851e-05,cuda_mixed_edge,True
nd_10,cuda_edge_nd_nd_10,20260412,0.050135,0.0477975,0.04754,0.047321,0.0008422144422097418,cuda,case8387_pegase,mixed,0.056076,0.0537639,0.0535025,0.053305,0.0008270702576632238,2.854577463296e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006073,0.0059661,0.0059395,0.00592,5.477925398055989e-05,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.053828,0.0514605,0.0511795,0.050958,0.0008480440567695893,cuda,case8387_pegase,mixed,0.059533,0.0572109,0.056997500000000006,0.056793,0.0008260382624982402,2.460704862095e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.005839,0.0057503,0.005706,0.005687,6.71019953338032e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.054791,0.0521002,0.051754,0.051693,0.0009599995138887654,cuda,case9241_pegase,mixed,0.061891,0.0592833,0.0590315,0.058779,0.0009309026742301743,3.115953780587e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.007287,0.0071826,0.007186,0.007074,8.495122783757225e-05,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.058127,0.0498519,0.048893,0.047304,0.0030122164025108743,cuda,case9241_pegase,mixed,0.070647,0.0617764,0.061246999999999996,0.058758,0.0032418288117117547,4.541210493585e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.012581,0.0119238,0.0122405,0.009034,0.0010660162391925472,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.047755,0.0451168,0.044837,0.044632,0.0009374371445595696,cuda,case9241_pegase,mixed,0.056509,0.0539145,0.053573499999999996,0.053377,0.0009257304923380469,1.981197981712e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.008956,0.0087974,0.008779499999999999,0.008713,6.864595156793082e-05,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.047055,0.0441555,0.043794,0.043649,0.0010344106480933424,cuda,case9241_pegase,mixed,0.055708,0.0528234,0.052461,0.052342,0.0010294140944137973,2.27089787426e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.008773,0.0086674,0.0086625,0.008603,5.100806036522283e-05,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.047323,0.0446035,0.04428,0.044159,0.0009663262906492807,cuda,case9241_pegase,mixed,0.055403,0.0526984,0.052365499999999995,0.052277,0.0009591605357464069,3.970421158517e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.008182,0.0080944,0.008084999999999998,0.008051,3.584286694882419e-05,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.052176,0.0491304,0.048793,0.048612,0.00107655378149187,cuda,case9241_pegase,mixed,0.060477,0.0574801,0.0571455,0.056902,0.0010597527436991042,1.706781328249e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.008434,0.0083491,0.0083655,0.008269,5.664793808153043e-05,cuda_mixed_edge,True
nd_10,cuda_edge_nd_nd_10,20260412,0.055604,0.0528577,0.052622,0.052349,0.0009748059692973664,cuda,case9241_pegase,mixed,0.063895,0.0611735,0.060901,0.060717,0.0009625226404263587,4.254754998843e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.008368,0.0083154,0.0083115,0.008254,4.355124695242528e-05,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.058563,0.0558672,0.055552500000000005,0.05541,0.0009546513965259186,cuda,case9241_pegase,mixed,0.065357,0.0627012,0.062405,0.062279,0.0009376002227910231,1.99243506676e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.006913,0.0068335,0.006842000000000001,0.006736,7.294328085726757e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.010936,0.0107176,0.010687,0.010653,9.358442415511484e-05,cuda,case118_ieee,mixed,0.01179,0.0115725,0.0115455,0.011497,9.525550436122368e-05,7.702033429773e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.00087,0.0008542000000000001,0.000854,0.00084,9.542885657214318e-06,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.0107,0.0105807,0.010549,0.010512,7.191669563537438e-05,cuda,case118_ieee,mixed,0.011608,0.0114796,0.011457,0.011403,7.245565693734496e-05,7.780765126057e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000908,0.0008983,0.0008955,0.000888,7.803845206050674e-06,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.010918,0.0106838,0.010621,0.010593,0.00012519566907667222,cuda,case118_ieee,mixed,0.011839,0.0116156,0.011548,0.011527,0.00012265869539317446,8.284672947667e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000938,0.0009313,0.0009335000000000001,0.00092,5.945119380167597e-06,cuda_mixed_edge,True
