case_name,count_mean,metric,ms_mean,ms_stdev,profile,profile_elapsed_speedup_vs_cuda_edge,profile_solve_speedup_vs_cuda_edge,runs,sec_mean,sec_stdev,section,share_of_profile_elapsed,share_of_profile_solve,source_column,success_all
case_ACTIVSg200,2.0,cpu_naive_jacobian,0.1907,0.007498888806572165,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0001907,7.498888806572165e-06,ablation_bridge,0.015532604623128674,0.19966495654905247,ABLATION.cpu_naive_jacobian.total_sec,True
case_ACTIVSg200,2.0,cpu_jacobian_to_cuda_csr,0.0663,0.0018287822299126954,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,6.63e-05,1.8287822299126953e-06,ablation_bridge,0.0054001661589587364,0.06941681499319444,ABLATION.cpu_jacobian_to_cuda_csr.total_sec,True
case_ACTIVSg200,,cuda_F_to_cpu,,,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,,,ablation_bridge,,,ABLATION.cuda_F_to_cpu.total_sec,True
case_ACTIVSg200,,cuda_J_to_cpu_csc,,,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,,,ablation_bridge,,,ABLATION.cuda_J_to_cpu_csc.total_sec,True
case_ACTIVSg200,,cpu_dx_to_cuda,,,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,,,ablation_bridge,,,ABLATION.cpu_dx_to_cuda.total_sec,True
case_ACTIVSg200,2.0,cpu_naive_jacobian_dS_dVm,0.0371,0.0096775800464556,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,3.71e-05,9.677580046455599e-06,cpu_reference,0.003021812435857755,0.03884410009423097,CPU.naive.jacobian.dS_dVm.total_sec,True
case_ACTIVSg200,2.0,cpu_naive_jacobian_dS_dVa,0.07339999999999999,0.008579044235810887,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,7.34e-05,8.579044235810887e-06,cpu_reference,0.005978464495740139,0.07685059156109307,CPU.naive.jacobian.dS_dVa.total_sec,True
case_ACTIVSg200,2.0,cpu_naive_jacobian_assemble,0.0665,0.005296749527356901,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,6.65e-05,5.296749527356901e-06,cpu_reference,0.005416456252952579,0.06962621715003665,CPU.naive.jacobian.assemble.total_sec,True
case_ACTIVSg200,,cpu_superlu,,,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,,,cpu_reference,,,CPU.naive.solve.superlu.total_sec,True
case_ACTIVSg200,,elapsed,13.511000000000001,3.5371685788997325,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,0.013511,0.0035371685788997327,top_level,1.0,17.86696641100238,elapsed_sec,True
case_ACTIVSg200,,analyze,12.7542,3.5390541360337764,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,0.0127542,0.0035390541360337765,top_level,0.9439863814669528,16.866172970113727,analyze_sec,True
case_ACTIVSg200,,solve,0.7562000000000001,0.0053707024162994174,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,0.0007562000000000001,5.370702416299417e-06,top_level,0.0559692102731108,1.0,solve_sec,True
case_ACTIVSg200,1.0,upload,0.0672,0.002740640638812598,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,6.72e-05,2.740640638812598e-06,nr,0.004973725112870993,0.08886537952922506,NR.solve.upload.total_sec,True
case_ACTIVSg200,3.0,mismatch,0.07890000000000001,0.0012866839377079216,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,7.890000000000001e-05,1.2866839377079215e-06,nr,0.0058396861816297834,0.10433747685797408,NR.iteration.mismatch.total_sec,True
case_ACTIVSg200,2.0,jacobian,0.0609,0.000737864787372622,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,6.09e-05,7.37864787372622e-07,nr,0.004507438383539338,0.08053425019836022,NR.iteration.jacobian.total_sec,True
case_ACTIVSg200,2.0,linear_solve,0.483,0.0023094010767585045,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,0.000483,2.3094010767585044e-06,nr,0.03574864924876027,0.6387199153663051,NR.iteration.linear_solve.total_sec,True
case_ACTIVSg200,2.0,voltage_update,0.04,0.0,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,4e-05,0.0,nr,0.002960550662423211,0.052896059243586355,NR.iteration.voltage_update.total_sec,True
case_ACTIVSg200,1.0,download,0.0201,0.0009944289260117524,cuda_fp64_edge,0.8918806898083044,0.8398571806400422,10,2.01e-05,9.944289260117524e-07,nr,0.0014876767078676634,0.026580269769902142,NR.solve.download.total_sec,True
